Caladium hortulanum ,Birdsey 'Maid of Orleans',Araceae,,,Caladium hortulanum Bridsey,SPECIES,Araceae,Caladium hortulanum,100,EXACT
Calathea insignis,A.Brongn. ex Petersen,Marantaceae,,,Calathea insignis W.Bull,SPECIES,Marantaceae,Calathea insignis,100,EXACT
Calathea makoyana ,E.Morr. & Boom,Marantaceae,,Calathea,Calathea makoyana E.Morren,SPECIES,Marantaceae,Calathea makoyana,100,EXACT
Calathea micans .,K. Schum,Marantaceae,,,Calathea micans (L.Mathieu) Körn.,SPECIES,Marantaceae,Calathea micans,100,EXACT
Calathea ornata ,Koern.,Marantaceae,Maranta roseo-lineata Petersen.,,Calathea ornata (Linden) Körn.,SPECIES,Marantaceae,Calathea ornata,100,EXACT
Calathea ornata ,Koern. roseo-lineata Petersen,Marantaceae,,,Calathea ornata (Linden) Körn.,SPECIES,Marantaceae,Calathea ornata,100,EXACT
Calathea ornata ,Koern. roseo-picta,Marantaceae,Calathea sanderiana (Sander) Gentil,,Calathea ornata (Linden) Körn.,SPECIES,Marantaceae,Calathea ornata,100,EXACT
Calathea ornata ,Koern. sanderiana,Marantaceae,,,Calathea ornata (Linden) Körn.,SPECIES,Marantaceae,Calathea ornata,100,EXACT
Calathea setosa ,Körn.,Marantaceae,,,Calathea silvosa J.F.Macbr.,SPECIES,Marantaceae,Calathea silvosa,85,FUZZY
Calathea stromata ,Hort,Marantaceae,Maranta zebrina Sims  ,,Calathea striata H.A.Kenn.,SPECIES,Marantaceae,Calathea striata,94,FUZZY
Calathea zebrina ,(Sims.) Lindl.,Marantaceae,,,Calathea zebrina (Sims) Lindl.,SPECIES,Marantaceae,Calathea zebrina,100,EXACT
Callitris intratropica ,R.T. Baker & H.G. Sim.,Cuppressaceae,,Cyprès bleu,Callitris intratropica R.T. Baker & H.G. Smith,SPECIES,Cupressaceae,Callitris intratropica,100,EXACT
